ASM31688	OSS_OSS-OM_WFM_서비스요청_운영
ASM30014	NetWork_공통
ASM30018	NetWork_전라
ASM34824	KOS-오더_KOS-Customer_CDM-통합UI_서비스요청_2선
ASM30157	DRM-운용
ASM24669	kt telecop 영업전산_영업전산_영업_서비스요청_운영
ASM38549	인증플랫폼_SHUB_SCAP_서비스문의_2선
ASM36302	결제과금플랫폼_통합과금시스템(nCRAB)_통합과금시스템(nCRAB)_서비스요청_2선
ASM36933	인증플랫폼_SHUB_SHUB_서비스요청_2선
ASM30034	KOS-요금_ICIS_NS(QOOK인터넷)_서비스요청_운영
ASM14351	Comm & collaboration_결재_결재_서비스요청_운영
ASM39321	KOS-Web_마이페이지_마이페이지_서비스요청_2선
ASM35788	서비스플랫폼_SMS VAS_SMS VAS_서비스요청_2선
ASM38410	KOS-요금_KOS-Billing_KOS-OnBill_서비스요청_2선
ASM24510	kt telecop 경영전산_홈페이지_홈페이지_서비스요청_운영
ASM24870	KOS-요금_미납안내지원 (CAMS)_G-CAMS_서비스요청_운영
ASM24659	kt telecop 경영전산_물류관리_물류_서비스요청_운영
ASM30506	KOS-요금_ICIS_인터넷응용_서비스요청_운영
ASM34826	KOS-오더_KOS-Customer_KOS-AUTH_서비스요청_2선
ASM31687	OSS_OSS-OM_SOMF_서비스요청_운영
ASM24670	kt telecop 영업전산_영업전산_청구_서비스요청_운영
ASM31686	OSS_OSS-OM_PNA_서비스요청_운영
ASM24511	kt telecop 경영전산_그룹웨어_EP_서비스요청_운영
ASM38968	KOS-오더_KOS-Customer_KOS-모바일연동_서비스요청_2선
ASM35749	서비스플랫폼_GMMSC_GMMSC_서비스요청_2선
ASM24666	kt telecop 영업전산_영업전산_설치공사_서비스요청_운영
ASM38928	KOS-요금_KOS-Billing_KOS-Bill_서비스요청_2선
ASM39013	KOS-오더_KOS-Customer_KOS-청구계정_서비스요청_2선
ASM14431	OSS_NeOSS_시설관리(FM-가입자)_서비스요청_운영
ASM34818	KOS-오더_KOS-Customer_CDM-고객_서비스요청_2선
ASM38993	KOS-오더_KOS-Customer_KOS-유선공통_서비스요청_2선
ASM38938	KOS-요금_KOS-Billing_KOS-Invoice_서비스요청_2선
ASM30031	KOS-요금_ICIS_RS(인터넷전화)_서비스요청_운영
ASM38948	KOS-오더_KOS-Customer_KOS-모바일계약_서비스요청_2선
ASM38849	KOS-유통_KOS-유통_KOS-유통_서비스요청_2선
ASM18827	ERP_ERP_부동산_서비스요청_운영_시스템
ASM30065	NetIS-운영
ASM14352	Comm & collaboration_그룹커뮤니케이션_그룹메일_서비스요청_운영
ASM30037	KOS-요금_ICIS_NS(QOOKTV)_서비스요청_운영
ASM14437	OSS_NeOSS_전용개통/고장(DEL)_서비스요청_운영
ASM31948	ERP_ERP_자산/설비_ECC_서비스요청_운영_시스템
ASM30040	KOS-요금_ICIS_NS(정보통신)_서비스요청_운영
ASM36004	Comm & collaboration_모바일단말앱제어_모바일단말앱제어_서비스요청_운영
ASM38958	KOS-오더_KOS-Customer_KOS-모바일기기_서비스요청_2선
ASM14444	OSS_NeOSS-DEL비상운용_NeOSS-DEL비상운용_서비스요청_운영
ASM39867	KOS-오더_KOS-오더_KOS-SOIP_서비스요청_2선
ASM24662	kt telecop 영업전산_영업전산_견적_서비스요청_운영
ASM16565	KOS-Web_스마트신청서_스마트신청서_서비스요청_운영
